Mã dự án,Tên dự án,Tên khác,Loại dự án,Địa chỉ,Phường/Xã,Quận/Huyện,Tỉnh/Thành phố,Địa chỉ chi tiết,Trạng thái giao dịch,Số tin bán,Số tin thuê,Tổng số tin,Số người bán,Ngày tạo,Ngày cập nhật,Ngày bắt đầu xây dựng,Ngày trả bàn giao,Diện tích tổng,Diện tích xây dựng,Giá bán thấp nhất,Giá bán cao nhất,Giá thấp nhất/m2,Giá cao nhất/m2,Nhà đầu tư,Loại hình,Tiến độ,Trạng thái
303177231,Central City,Central City,Đất nền,"Đường Trần Quốc Toản, Phường Quang Trung, Thành phố Uông Bí, Quảng Ninh",,Thành phố Uông Bí,Quảng Ninh,,,0,0,0,0,2025-05-30 15:07:44,2026-03-30 10:20:09,,2025-05-30 15:07:42,0,0,0,0,0,0,,Đất nền,,
326734799,Versatile Home,Versatile Home,Khu dân cư,Đường Nguyễn Sơn,,Quận Tân Phú,Tp Hồ Chí Minh,"Đường Nguyễn Sơn, Phường Phú Thạnh, Quận Tân Phú, Thành phố Hồ Chí Minh, Việt Nam",,0,0,0,0,2025-05-30 15:07:43,2026-04-01 11:38:11,,2025-05-30 15:07:42,0,0,0,0,0,0,,Khu dân cư,,
332792498,DiLi Green Hill,,Khu dân cư,"Đing Trang Hoà, Di Linh, Lâm Đồng",Xã Đinh Trang Hòa,Huyện Di Linh,Lâm Đồng,,Đang mở bán,0,0,0,0,2025-09-26 15:01:44,2026-03-30 10:20:09,2025-09-26 00:00:00,2025-09-26 15:01:44,0,0,0,-1,0,-1,,Khu dân cư,Đang thi công,Đang mở bán
351889132,Nhà phố phức hợp Pax Residence,Nhà phố phức hợp Pax Residence,Khu dân cư,Đường Nguyễn Văn Tạo,,Huyện Nhà Bè,Tp Hồ Chí Minh,"Đường Nguyễn Văn Tạo, Xã Long Thới, Huyện Nhà Bè, Thành phố Hồ Chí Minh, Việt Nam",,0,0,0,0,2025-05-30 15:07:43,2026-04-01 11:38:11,,2025-05-30 15:07:42,0,0,0,0,0,0,,Khu dân cư,,
371865990,Diamond City Lộc Ninh,Diamond City Lộc Ninh,Đất nền,Đường Nguyễn Tất Thành,Thị trấn Lộc Ninh,Huyện Lộc Ninh,Bình Phước,"Đường Nguyễn Tất Thành, Thị trấn Lộc Ninh, Huyện Lộc Ninh, Tỉnh Bình Phước, Việt Nam",,0,0,0,0,2025-05-30 15:07:44,2026-03-30 10:20:09,,2025-05-30 15:07:42,0,0,0,0,0,0,,Đất nền,,
388851878,Thiên Nam Residence,Thiên Nam Residence,"Biệt thự, liền kề",Đường Tân Thới Nhất 17,Phường Tân Thới Nhất,Quận 12,Tp Hồ Chí Minh,"Đường Tân Thới Nhất 17, Phường Tân Thới Nhất, Quận 12, Thành phố Hồ Chí Minh, Việt Nam",,1,0,1,0,2025-05-30 15:07:43,2026-04-01 11:38:11,,2025-05-30 15:07:42,0,0,0,0,0,0,,"Biệt thự, liền kề",,
395958165,Saigon Pennisula,Saigon Pennisula,Đất nền,Đường Đào Trí,,Quận 7,Tp Hồ Chí Minh,"Đường Đào Trí, Phường Phú Thuận, Quận 7, Thành phố Hồ Chí Minh, Việt Nam",,0,0,0,0,2025-05-30 15:07:44,2026-04-01 11:40:10,,2025-05-30 15:07:42,0,0,0,0,0,0,,Đất nền,,
401480757,Bcons Center City,Bcons Center City,Căn hộ chung cư,"đường thống nhất, Xã Bình Thắng, Dĩ An, Binh Duong, Vietnam",Phường Bình Thắng,Thành phố Dĩ An,Bình Dương,,Sắp mở bán,40,1,41,0,2026-02-27 09:24:04,2026-03-30 10:20:09,2025-12-10 00:00:00,2026-02-27 09:24:04,0,0,0,-1,0,-1,,Căn hộ chung cư,Đang thi công,Sắp mở bán
414006215,Sài Gòn Riverside Villas,Sài Gòn Riverside Villas,"Biệt thự, liền kề",Đường Tỉnh lộ 8,,Huyện Củ Chi,Tp Hồ Chí Minh,"Đường Tỉnh lộ 8, Xã Bình Mỹ, Huyện Củ Chi, Thành phố Hồ Chí Minh, Việt Nam",,0,0,0,0,2025-05-30 15:07:43,2026-04-01 11:38:10,,2025-05-30 15:07:42,0,0,0,0,0,0,,"Biệt thự, liền kề",,
418447463,Hoàng Anh Home,Hoàng Anh Home,Khu dân cư,Đường Tô Ngọc Vân,Phường Thạnh Xuân,Quận 12,Tp Hồ Chí Minh,"Đường Tô Ngọc Vân, Phường Thạnh Xuân, Quận 12, Thành phố Hồ Chí Minh, Việt Nam",,0,0,0,0,2025-05-30 15:07:43,2026-04-01 11:38:11,,2025-05-30 15:07:42,0,0,0,0,0,0,,Khu dân cư,,
431318058,Nhà phố thương mại One Palace,Nhà phố thương mại One Palace,Khu dân cư,Đường Hà Huy Giáp,Phường Thạnh Lộc,Quận 12,Tp Hồ Chí Minh,"Đường Hà Huy Giáp, Phường Thạnh Lộc, Quận 12, Thành phố Hồ Chí Minh, Việt Nam",,0,0,0,0,2025-05-30 15:07:43,2026-04-01 11:38:11,,2025-05-30 15:07:42,0,0,0,0,0,0,,Khu dân cư,,
438424345,Phú Đông SkyOne,Phú Đông SkyOne,Căn hộ chung cư,"đường DT 743C, Phường Tân Đông Hiệp, Thành phố Dĩ An, Bình Dương",Phường Tân Đông Hiệp,Thành phố Dĩ An,Bình Dương,,Đang mở bán,0,0,0,0,2025-06-20 12:35:55,2026-03-30 10:20:09,2023-12-01 00:00:00,2025-06-20 12:35:55,0,0,0,-1,35000000,41000000,,Căn hộ chung cư,Đang thi công,Đang mở bán
445204697,Eco Luxury Bình Tân,Eco Luxury Bình Tân,Khu dân cư,Đường Lê Tấn Bê,,Quận Bình Tân,Tp Hồ Chí Minh,"Đường Lê Tấn Bê, Phường An Lạc, Quận Bình Tân, Thành phố Hồ Chí Minh, Việt Nam",,1,0,1,0,2025-05-30 15:07:43,2026-04-01 11:38:11,,2025-05-30 15:07:42,0,0,0,0,0,0,,Khu dân cư,,
450727289,Khu dân cư Đồng Phượng,Khu dân cư Đồng Phượng,Đất nền,Đường Nguyễn Văn Quá,Phường Đông Hưng Thuận,Quận 12,Tp Hồ Chí Minh,"Đường Nguyễn Văn Quá, Phường Đông Hưng Thuận, Quận 12, Thành phố Hồ Chí Minh, Việt Nam",,0,0,0,0,2025-05-30 15:07:44,2026-04-01 11:40:10,,2025-05-30 15:07:42,0,0,0,0,0,0,,Đất nền,,
470359038,ZEITGEIST,ZEITGEIST,Khu dân cư,Đường Nguyễn Hữu Thọ,Xã Phước Kiển,Huyện Nhà Bè,Tp Hồ Chí Minh,"Đường Nguyễn Hữu Thọ, Xã Phước Kiển, Huyện Nhà Bè, Thành phố Hồ Chí Minh, Việt Nam",,0,0,0,0,2025-05-30 15:07:43,2026-04-01 11:38:11,,2025-05-30 15:07:42,0,0,0,0,0,0,,Khu dân cư,,
493193965,Mango City,Mango City,Đất nền,"Đường Quốc lộ 1A, Xã Cam Hải Tây, Huyện Cam Lâm, Khánh Hòa",Xã Cam Hải Tây,Huyện Cam Lâm,Khánh Hòa,,,0,0,0,0,2025-05-30 15:07:44,2026-03-30 10:20:09,,2025-05-30 15:07:42,0,0,0,0,0,0,,Đất nền,,
507113104,Yên Bình K-Town,Yên Bình K-Town,Đất nền,"Lô 8, khu đô thị Yên Bình, phường Đồng Tiến, Thành Phố Phổ Yên, Tỉnh Thái Nguyên.",Phường Đồng Tiến,Thị xã Phổ Yên,Thái Nguyên,,Đang mở bán,0,0,0,0,2025-08-26 10:05:56,2026-03-30 10:20:09,2025-04-14 00:00:00,2025-08-26 10:05:56,0,0,0,-1,0,-1,,Đất nền,Đang thi công,Đang mở bán
517318896,Thới An City,Thới An City,Đất nền,Đường Lê Thị Riêng,,Quận 12,Tp Hồ Chí Minh,"Đường Lê Thị Riêng, Phường Thới An, Quận 12, Thành phố Hồ Chí Minh, Việt Nam",,0,0,0,0,2025-05-30 15:07:44,2026-04-01 11:40:10,,2025-05-30 15:07:42,0,0,0,0,0,0,,Đất nền,,
531205287,Lucky Garden,Lucky Garden,Đất nền,Đường Hà Duy Phiên,,Huyện Củ Chi,Tp Hồ Chí Minh,"Đường Hà Duy Phiên, Xã Bình Mỹ, Huyện Củ Chi, Thành phố Hồ Chí Minh, Việt Nam",,0,0,0,0,2025-05-30 15:07:44,2026-04-01 11:40:10,,2025-05-30 15:07:42,0,0,0,0,0,0,,Đất nền,,
561882212,Ruby City Bảo Lộc,Ruby City Bảo Lộc,Đất nền,Đường Trần Phú,Phường Lộc Sơn,Thành phố Bảo Lộc,Lâm Đồng,"Đường Trần Phú, Phường Lộc Sơn, Thành phố Bảo Lộc, Tỉnh Lâm Đồng, Việt Nam",,1,0,1,0,2025-05-30 15:07:44,2026-03-30 10:20:09,,2025-05-30 15:07:42,0,0,0,0,0,0,,Đất nền,,
566565156,Đầm Sen Tower,Đầm Sen Tower,Khu dân cư,"Đầm Sen Tower, Phường 5, Quận 11, Tp Hồ Chí Minh",,Quận 11,Tp Hồ Chí Minh,,,0,0,0,0,2025-05-30 15:07:43,2026-04-01 11:38:11,,2025-05-30 15:07:42,0,0,0,0,0,0,,Khu dân cư,,
573671467,Green Skyline Dĩ An,Green Skyline,Căn hộ chung cư,Đường Nguyễn An Ninh,Phường Dĩ An,Thành phố Dĩ An,Bình Dương,"Đường Nguyễn An Ninh, Phường Dĩ An, Thành phố Dĩ An, Tỉnh Bình Dương, Việt Nam",Đang mở bán,12,0,12,0,2025-12-30 15:39:41,2026-03-30 10:20:09,2023-05-24 00:00:00,2025-12-30 15:39:41,0,0,0,-1,0,-1,,Căn hộ chung cư,Đang thi công,Đang mở bán
628473855,La Pura,La Pura,Căn hộ chung cư,"QL13, Thuận An, Bình Dương",Phường Bình Hòa,Thành phố Thuận An,Bình Dương,,Đang mở bán,34,0,34,0,2025-06-20 12:33:16,2026-03-30 10:20:09,2025-04-01 00:00:00,2025-06-20 12:33:16,0,0,0,-1,0,-1,,Căn hộ chung cư,Đang thi công,Đang mở bán
659346114,Lovera Park,Lovera Park,"Biệt thự, liền kề",Đường Trịnh Quang Nghị,,Huyện Bình Chánh,Tp Hồ Chí Minh,"Đường Trịnh Quang Nghị, Xã Phong Phú, Huyện Bình Chánh, Thành phố Hồ Chí Minh, Việt Nam",,2,1,3,0,2025-05-30 15:07:43,2026-04-01 11:38:11,,2025-05-30 15:07:42,0,0,0,0,0,0,,"Biệt thự, liền kề",,
66446083,Phước Bình Home,Phước Bình Home,"Biệt thự, liền kề","Phố Tạ Quang Bửu, Phường 6, Quận 8, Tp Hồ Chí Minh",,Quận 8,Tp Hồ Chí Minh,,,0,0,0,0,2025-05-30 15:07:43,2026-04-01 11:38:10,,2025-05-30 15:07:42,0,0,0,0,0,0,,"Biệt thự, liền kề",,
677720099,Bình Mỹ River Point,Bình Mỹ River Point,Đất nền,Đường Số 181,,Huyện Củ Chi,Tp Hồ Chí Minh,"Đường Số 181, Xã Bình Mỹ, Huyện Củ Chi, Thành phố Hồ Chí Minh, Việt Nam",,0,0,0,0,2025-05-30 15:07:44,2026-04-01 11:38:11,,2025-05-30 15:07:42,0,0,0,0,0,0,,Đất nền,,
680352118,Aviva Residences,Aviva Residences,Căn hộ chung cư,"Khu dân cư Việt - Sing, An Phú, Thuận An, Bình Dương",Phường An Phú,Thành phố Thuận An,Bình Dương,,Đã bàn giao,0,0,0,0,2025-07-28 18:28:02,2026-03-30 10:20:09,2019-05-28 00:00:00,2025-07-28 18:28:02,0,0,0,-1,0,-1,,Căn hộ chung cư,Đã hoàn thành,Đã bàn giao
746943497,Sun Cora Tower,,Căn hộ chung cư,"khu đô thị Nam Hòa Xuân, phường Hòa Quý, quận Ngũ Hành Sơn, thành phố Đà Nẵng",Phường Hoà Quý,Quận Ngũ Hành Sơn,Đà Nẵng,,Đang mở bán,18,0,18,0,2025-12-09 16:13:52,2026-03-30 10:20:09,2025-10-09 00:00:00,2025-12-09 16:13:52,0,0,0,-1,0,-1,,Căn hộ chung cư,Đang thi công,Đang mở bán
77246551,Diamond Boulevard,chung cư Tân An Bình Dương,Căn hộ chung cư,Đường Đại lộ Bình Dương,Phường Thuận Giao,Thành phố Thuận An,Bình Dương,"Đường Đại lộ Bình Dương, Phường Thuận Giao, Thành phố Thuận An, Tỉnh Bình Dương, Việt Nam",Đang mở bán,9,0,9,0,2026-03-16 10:13:11,2026-03-30 10:20:09,2023-03-10 00:00:00,2026-03-16 10:13:11,6609,6609,-1,-1,31000000,-1,Tập đoàn Tecco,Căn hộ chung cư,Đang thi công,Đang mở bán
801732291,Axis Hồ Tràm,Axis Hồ Tràm,Đất nền,Đường Ven Biển,Xã Phước Thuận,Huyện Xuyên Mộc,Bà Rịa - Vũng Tàu,"Đường Ven Biển, Bến Cát, Xã Phước Thuận, Huyện Xuyên Mộc, Tỉnh Bà Rịa - Vũng Tàu, Việt Nam",,0,0,0,0,2025-05-30 15:07:44,2026-03-30 10:20:09,,2025-05-30 15:07:42,0,0,0,0,0,0,,Đất nền,,
815599488,The Win City,The Win City – West Horizon at Sài Gòn,Khu phức hợp,"Mặt tiền Tỉnh Lộ 10 (Trần Văn Giàu nối dài), Đức Hòa",Xã Đức Hòa Hạ,Huyện Đức Hòa,Long An,,Sắp mở bán,17,0,17,0,2026-03-20 14:55:01,2026-03-30 10:20:09,2025-10-31 00:00:00,2026-03-20 14:55:01,0,0,0,-1,0,-1,Tập đoàn Thắng Lợi,Khu phức hợp,Đang thi công,Sắp mở bán
8558300,The Legend Đà Nẵng,,Căn hộ chung cư,Đường Võ Văn Kiệt,Phường An Hải Tây,Quận Sơn Trà,Đà Nẵng,"Đường Võ Văn Kiệt, Phường An Hải Tây, Quận Sơn Trà, Thành phố Đà Nẵng, Việt Nam",Đang mở bán,4,0,4,0,2025-10-01 17:46:57,2026-03-30 10:20:09,2025-02-28 00:00:00,2025-10-01 17:46:57,0,0,0,-1,0,-1,,Căn hộ chung cư,Đang thi công,Đang mở bán
861184343,Khu nhà phố MD Land,Khu nhà phố MD Land,Khu dân cư,Đường Bùi Tư Toàn,,Quận Bình Tân,Tp Hồ Chí Minh,"Đường Bùi Tư Toàn, Phường An Lạc, Quận Bình Tân, Thành phố Hồ Chí Minh, Việt Nam",,0,0,0,0,2025-05-30 15:07:43,2026-04-01 11:38:11,,2025-05-30 15:07:42,0,0,0,0,0,0,,Khu dân cư,,
868290650,Khu đô thị Kỳ Sơn,Khu đô thị Kỳ Sơn,Đất nền,"Đường Quốc lộ 6, Phường Kỳ Sơn, Thành phố Hòa Bình, Hòa Bình",Phường Kỳ Sơn,Thành phố Hòa Bình,Hòa Bình,,,0,0,0,0,2025-05-30 15:07:44,2026-03-30 10:20:09,,2025-05-30 15:07:42,0,0,0,0,0,0,,Đất nền,,
936979421,The Infinity (Charm Diamond),The Infinity (Charm Diamond),Căn hộ chung cư,"Số 30 DT743C, khu phố Thống Nhất, TP. Dĩ An, Bình Dương",Phường Dĩ An,Thành phố Dĩ An,Bình Dương,,Đang mở bán,0,0,0,0,2025-06-20 12:30:43,2026-03-30 10:20:09,2025-03-01 00:00:00,2025-06-20 12:30:43,0,0,0,-1,0,-1,,Căn hộ chung cư,Đang thi công,Đang mở bán
999063732,Bình Mỹ Residence,Bình Mỹ Residence,Đất nền,Đường Võ Văn Bích,,Huyện Củ Chi,Tp Hồ Chí Minh,"Đường Võ Văn Bích, Xã Bình Mỹ, Huyện Củ Chi, Thành phố Hồ Chí Minh, Việt Nam",,0,0,0,0,2025-05-30 15:07:44,2026-04-01 11:40:10,,2025-05-30 15:07:42,0,0,0,0,0,0,,Đất nền,,
