Mã dự án,Tên dự án,Tên khác,Loại dự án,Địa chỉ,Phường/Xã,Quận/Huyện,Tỉnh/Thành phố,Địa chỉ chi tiết,Trạng thái giao dịch,Số tin bán,Số tin thuê,Tổng số tin,Số người bán,Ngày tạo,Ngày cập nhật,Ngày bắt đầu xây dựng,Ngày trả bàn giao,Diện tích tổng,Diện tích xây dựng,Giá bán thấp nhất,Giá bán cao nhất,Giá thấp nhất/m2,Giá cao nhất/m2,Nhà đầu tư,Loại hình,Tiến độ,Trạng thái
1304950609,Khu nhà ở dịch vụ Lê Đình Cẩn,Khu nhà ở dịch vụ Lê Đình Cẩn,Khu dân cư,Đường Lê Đình Cẩn,Phường Tân Tạo,Quận Bình Tân,Tp Hồ Chí Minh,"Đường Lê Đình Cẩn, Phường Tân Tạo, Quận Bình Tân, Thành phố Hồ Chí Minh, Việt Nam",,1,1,2,0,2025-05-30 15:07:43,2026-04-01 11:38:11,,2025-05-30 15:07:42,0,0,0,0,0,0,,Khu dân cư,,
130986537,Danko Avenue,Danko Avenue,Đất nền,"Đường Thắng Lợi, Phường Bách Quang, Thành phố Sông Công, Thái Nguyên",Phường Bách Quang,Thành phố Sông Công,Thái Nguyên,,,0,0,0,0,2025-05-30 15:07:44,2026-03-30 10:20:09,,2025-05-30 15:07:42,0,0,0,0,0,0,,Đất nền,,
1312056900,Happy One Mori,Happy One Mori,Căn hộ chung cư,Đường Lái Thiêu 14,Phường Lái Thiêu,Thành phố Thuận An,Bình Dương,"Đường Lái Thiêu 14, Phường Lái Thiêu, Thành phố Thuận An, Tỉnh Bình Dương, Việt Nam",Sắp mở bán,2,0,2,0,2026-03-10 15:53:37,2026-03-30 10:20:09,2025-08-09 00:00:00,2026-03-10 15:53:37,1.08,10802,0,-1,0,-1,CÔNG TY CỔ PHẦN TẬP ĐOÀN ĐỊA ỐC VẠN XUÂN,Căn hộ chung cư,Đang thi công,Sắp mở bán
1343991333,Bảo Sơn Tân Phú Center,Bảo Sơn Tân Phú Center,Khu dân cư,Đường Nguyễn Sơn,,Quận Tân Phú,Tp Hồ Chí Minh,"Đường Nguyễn Sơn, Phường Phú Thạnh, Quận Tân Phú, Thành phố Hồ Chí Minh, Việt Nam",,0,0,0,0,2025-05-30 15:07:43,2026-04-01 11:38:11,,2025-05-30 15:07:42,0,0,0,0,0,0,,Khu dân cư,,
1351097640,The Gió Riverside,The Gió Riverside,Căn hộ chung cư,"Đường DT16, phường Bình An, TP Dĩ An, Bình Dương",Phường Bình An,Thành phố Dĩ An,Bình Dương,,Đang mở bán,6,0,6,0,2025-06-20 12:37:02,2026-03-30 10:20:09,2024-06-26 00:00:00,2025-06-20 12:37:02,0,0,0,-1,0,-1,,Căn hộ chung cư,Đang thi công,Đang mở bán
1417689251, Yên Bình Complex,,Căn hộ chung cư,"Phường Đồng Tiến, xã Tân Hương, Thành phố Phổ Yên, Thái Nguyên",Xã Tân Hương,Thị xã Phổ Yên,Thái Nguyên,,Đang mở bán,0,0,0,0,2025-08-26 10:09:40,2026-03-30 10:20:09,2025-05-26 00:00:00,2025-08-26 10:09:40,0,0,0,-1,0,-1,,Căn hộ chung cư,Đang thi công,Đang mở bán
1452009,An Phú Luxury Villas,An Phú Luxury Villas,Khu dân cư,"Đường Thạnh Xuân 22, Phường Thạnh Xuân, Quận 12, Tp Hồ Chí Minh",Phường Thạnh Xuân,Quận 12,Tp Hồ Chí Minh,,,0,0,0,0,2025-05-30 15:07:43,2026-04-01 11:38:11,,2025-05-30 15:07:42,0,0,0,0,0,0,,Khu dân cư,,
1464289910,Pier IX,Pier IX,Khu dân cư,"Đường Quốc lộ 1A, Phường Thới An, Quận 12, Tp Hồ Chí Minh",,Quận 12,Tp Hồ Chí Minh,,,0,0,0,0,2025-05-30 15:07:43,2026-04-01 11:38:11,,2025-05-30 15:07:42,0,0,0,0,0,0,,Khu dân cư,,
1475544534,The Sol Residence,The Sol Residence,"Biệt thự, liền kề",Đường Thạnh Xuân 38,Phường Thạnh Xuân,Quận 12,Tp Hồ Chí Minh,"Đường Thạnh Xuân 38, Phường Thạnh Xuân, Quận 12, Thành phố Hồ Chí Minh, Việt Nam",,0,0,0,0,2025-05-30 15:07:43,2026-04-01 11:38:11,,2025-05-30 15:07:42,0,0,0,0,0,0,,"Biệt thự, liền kề",,
1479238455,Khu dân cư Young Family,Khu dân cư Young Family,Khu dân cư,Đường Nguyễn Thị Lắng,,Huyện Củ Chi,Tp Hồ Chí Minh,"Đường Nguyễn Thị Lắng, Xã Tân Phú Trung, Huyện Củ Chi, Thành phố Hồ Chí Minh, Việt Nam",,0,0,0,0,2025-05-30 15:07:43,2026-04-01 11:38:11,,2025-05-30 15:07:42,0,0,0,0,0,0,,Khu dân cư,,
1485296186,The Solia,,Khu đô thị mới,"Số 30, Tỉnh Lộ 830 (Vành Đai 4), xã Lương Hòa, Bến Lức, Long An",Xã Lương Hòa,Huyện Bến Lức,Long An,,Đang mở bán,3,0,3,0,2025-12-30 15:43:14,2026-03-30 10:20:09,2025-12-30 00:00:00,2025-12-30 15:43:14,0,0,0,-1,0,-1,,Khu đô thị mới,Đang thi công,Đang mở bán
1489444503,Lavila De Rio,Lavila De Rio,"Biệt thự, liền kề",Đường Nguyễn Hữu Thọ,Xã Phước Kiển,Huyện Nhà Bè,Tp Hồ Chí Minh,"Đường Nguyễn Hữu Thọ, Xã Phước Kiển, Huyện Nhà Bè, Thành phố Hồ Chí Minh, Việt Nam",,0,0,0,0,2025-05-30 15:07:43,2026-04-01 11:38:10,,2025-05-30 15:07:42,0,0,0,0,0,0,,"Biệt thự, liền kề",,
1520675753,The Sholi Bình Tân,The Sholi Bình Tân,Khu dân cư,Đường An Dương Vương,,Quận Bình Tân,Tp Hồ Chí Minh,"Đường An Dương Vương, Phường An Lạc, Quận Bình Tân, Thành phố Hồ Chí Minh, Việt Nam",,0,0,0,0,2025-05-30 15:07:43,2026-04-01 11:38:11,,2025-05-30 15:07:42,0,0,0,0,0,0,,Khu dân cư,,
1540084988,Biên Hòa Center City,Biên Hòa Center City,Đất nền,Đường Nguyễn Thị Tồn,Phường Bửu Hòa,Thành phố Biên Hòa,Đồng Nai,"Đường Nguyễn Thị Tồn, Phường Bửu Hòa, Thành phố Biên Hòa, Tỉnh Đồng Nai, Việt Nam",,0,0,0,0,2025-05-30 15:07:44,2026-03-30 10:20:09,,2025-05-30 15:07:42,0,0,0,0,0,0,,Đất nền,,
1569922269,Lovera Premier,Lovera Premier,"Biệt thự, liền kề",Đường Trịnh Quang Nghị,,Huyện Bình Chánh,Tp Hồ Chí Minh,"Đường Trịnh Quang Nghị, Xã Phong Phú, Huyện Bình Chánh, Thành phố Hồ Chí Minh, Việt Nam",,3,1,4,0,2025-05-30 15:07:43,2026-04-01 11:38:11,,2025-05-30 15:07:42,0,0,0,0,0,0,,"Biệt thự, liền kề",,
1599537280,Ruby Boutique Residences,Ruby Boutique Residences,Khu dân cư,Đường Trịnh Đình Trọng,Phường Hòa Thạnh,Quận Tân Phú,Tp Hồ Chí Minh,"Đường Trịnh Đình Trọng, Phường Hòa Thạnh, Quận Tân Phú, Thành phố Hồ Chí Minh, Việt Nam",,0,0,0,0,2025-05-30 15:07:43,2026-04-01 11:38:11,,2025-05-30 15:07:42,0,0,0,0,0,0,,Khu dân cư,,
1606676087,Châu Thành Center,Châu Thành Center,Đất nền,"Đường Số 5, Thị Trấn Ngã Sáu, Huyện Châu Thành, Hậu Giang",Thị Trấn Ngã Sáu,Huyện Châu Thành,Hậu Giang,,,0,0,0,0,2025-05-30 15:07:44,2026-03-30 10:20:09,,2025-05-30 15:07:42,0,0,0,0,0,0,,Đất nền,,
160823822,Levata City,Levata City,Khu dân cư,"Đường 1B, Phường Bình Trị Đông, Quận Bình Tân, Tp Hồ Chí Minh",Phường Bình Trị Đông,Quận Bình Tân,Tp Hồ Chí Minh,,,0,0,0,0,2025-05-30 15:07:43,2026-04-01 11:38:11,,2025-05-30 15:07:42,0,0,0,0,0,0,,Khu dân cư,,
1655922875,Phú Mỹ Hưng L'Arcade,Phú Mỹ Hưng L'Arcade,Khu dân cư,Đường Tân Trào,,Quận 7,Tp Hồ Chí Minh,"Đường Tân Trào, Phường Tân Phú, Quận 7, Thành phố Hồ Chí Minh, Việt Nam",,0,0,0,0,2025-05-30 15:07:44,2026-04-01 11:38:11,,2025-05-30 15:07:42,0,0,0,0,0,0,,Khu dân cư,,
1675331854,Orchard Heights - Sycamore,Orchard Heights - Sycamore,Căn hộ chung cư,Đường Hùng Vương,Phường Phú Mỹ,Thành phố Thủ Dầu Một,Bình Dương,"Đường Hùng Vương, Phường Phú Mỹ, Thành phố Thủ Dầu Một, Tỉnh Bình Dương, Việt Nam",Đang mở bán,0,0,0,0,2025-06-20 12:35:02,2026-03-30 10:20:09,2024-02-01 00:00:00,2025-06-20 12:35:02,0,0,0,-1,0,-1,,Căn hộ chung cư,Đang thi công,Đang mở bán
1681077208,Phú Mỹ Hưng L'Arcade,Phú Mỹ Hưng L'Arcade,Khu dân cư,Đường Tân Trào,,Quận 7,Tp Hồ Chí Minh,"Đường Tân Trào, Phường Tân Phú, Quận 7, Thành phố Hồ Chí Minh, Việt Nam",,0,0,0,0,2025-05-30 15:07:43,2026-04-01 11:38:11,,2025-05-30 15:07:42,0,0,0,0,0,0,,Khu dân cư,,
1693379896,Essensia Parkway,Essensia Parkway,"Biệt thự, liền kề",Đường Nguyễn Hữu Thọ,Xã Phước Kiển,Huyện Nhà Bè,Tp Hồ Chí Minh,"Đường Nguyễn Hữu Thọ, Xã Phước Kiển, Huyện Nhà Bè, Thành phố Hồ Chí Minh, Việt Nam",,0,0,0,0,2025-05-30 15:07:43,2026-04-01 11:38:11,,2025-05-30 15:07:42,0,0,0,0,0,0,,"Biệt thự, liền kề",,
1705169391,Khu dân cư Tân Quý Tây,Khu dân cư Tân Quý Tây,Khu dân cư,Đường Đinh Đức Thiện,Xã Tân Quý Tây,Huyện Bình Chánh,Tp Hồ Chí Minh,"Đường Đinh Đức Thiện, Xã Tân Quý Tây, Huyện Bình Chánh, Thành phố Hồ Chí Minh, Việt Nam",,1,0,1,0,2025-05-30 15:07:43,2026-04-01 11:38:11,,2025-05-30 15:07:42,0,0,0,0,0,0,,Khu dân cư,,
1713324242,Khu dân cư Nguyễn Tri Phương,Khu dân cư Nguyễn Tri Phương,Đất nền,"Đường Nguyễn Tri Phương, Phường Chánh Lộ, Thành phố Quảng Ngãi, Quảng Ngãi",Phường Chánh Lộ,Thành phố Quảng Ngãi,Quảng Ngãi,,,0,0,0,0,2025-05-30 15:07:44,2026-03-30 10:20:09,,2025-05-30 15:07:42,0,0,0,0,0,0,,Đất nền,,
1741923457,The Aspira,The Aspira,Căn hộ chung cư,"Đ. Nguyễn Thị Minh Khai, Tân Phú, Dĩ An, Bình Dương",Phường Tân Bình,Thành phố Dĩ An,Bình Dương,,Đang mở bán,12,0,12,0,2025-08-15 16:04:24,2026-03-30 10:20:09,2024-10-26 00:00:00,2025-08-15 16:04:24,0,0,0,-1,0,-1,,Căn hộ chung cư,Đang thi công,Đang mở bán
1779915349,Khu đô thị Nam Đầm Vạc,Khu đô thị Nam Đầm Vạc,Đất nền,"Đường Ngô Quyền, Phường Khai Quang, Thành phố Vĩnh Yên, Vĩnh Phúc",Phường Khai Quang,Thành phố Vĩnh Yên,Vĩnh Phúc,,,0,0,0,0,2025-05-30 15:07:44,2026-03-30 10:20:09,,2025-05-30 15:07:42,0,0,0,0,0,0,,Đất nền,,
